Links,Sentiment,Main Topics
https://www.tiktok.com/@vicblends/video/7304049323598204203?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143,0,
https://www.tiktok.com/@keenanbank/video/7305854663285312773?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143,0,
https://www.tiktok.com/@dancookedit/video/7294418505070398766?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143,0,
https://www.tiktok.com/@championsleague/video/7307236577925729569?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143,0,
https://www.tiktok.com/@lookalike.tv/video/7287589563147734318?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143,0,
https://vm.tiktok.com/ZT85rcSLS/,2,
https://vm.tiktok.com/ZT85hNPpn/,2,
https://vm.tiktok.com/ZT85rvWHM/,2,
https://vm.tiktok.com/ZT85rTC8R/,2,
https://vm.tiktok.com/ZT85hMS8U/,2,
https://vm.tiktok.com/ZT85rwyUR/,2,
https://vm.tiktok.com/ZT85rv4M4/,2,
https://vm.tiktok.com/ZT85r3xsh/,2,
https://vm.tiktok.com/ZT85h24fC/,2,
https://vm.tiktok.com/ZT85h6UJm/,2,
https://vm.tiktok.com/ZT85hL1Rj/,1,
https://vm.tiktok.com/ZT85hR8b9/,1,
https://vm.tiktok.com/ZT85hMGE3/,1,
https://vm.tiktok.com/ZT85hdXKn/,1,
https://vm.tiktok.com/ZT85rT6x8/,1,
https://vm.tiktok.com/ZT85hRGLd/,1,
https://vm.tiktok.com/ZT85rWvrk/,1,
https://vm.tiktok.com/ZT85rWfo1/,1,
https://vm.tiktok.com/ZT85hJnbW/,1,
https://vm.tiktok.com/ZT85h8J1y/,1,
https://vm.tiktok.com/ZT85h85j5/,0,
https://vm.tiktok.com/ZT85hL1MM/,0,
https://vm.tiktok.com/ZT85hdTga/,0,
https://vm.tiktok.com/ZT85hLPpP/,0,
https://vm.tiktok.com/ZT85h24DM/,0,
